number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,1.8877,1,0
2,0,0,0,0.84189,1,1.9549
3,0,0,0,1.9502,1,2.3113
4,-1,-99999,-1,1.9866,0,0
5,800,-99999,45,1.4309,0,2.0396
6,-1,-99999,-1,1.754,1,2.275
7,-1,-99999,-1,1.6745,1,0
8,800,-99999,0,1.0744,1,1.6994
9,800,-99999,0,3.9991,NaN,1.0974
10,-1,-99999,-1,1.2597,0,0
11,-1,0,-1,1.2052,1,0
12,-1,-99999,-1,0.91816,0,0
13,-1,0,-1,2.2306,1,0
14,0,0,45,2.0913,0,2.4603
15,-1,0,-1,0.83677,1,0
16,-1,-99999,-1,0.95891,1,0
17,0,-99999,-45,2.3628,0,3.3638
18,-1,0,-1,1.5028,0,0
19,-1,0,-1,1.8617,1,0
20,0,0,0,3.9987,NaN,0.52019
21,-1,0,-1,1.2647,1,0
22,800,-99999,0,1.2314,0,1.7205
23,800,-99999,-45,1.1955,0,1.6526
24,-1,-99999,-1,2.1616,1,0
25,-1,-99999,-1,1.1771,1,0
26,-1,-99999,-1,3.3751,1,0
27,-1,-99999,-1,0.99612,1,0
28,-1,-99999,-1,2.5495,1,0
29,0,-99999,0,1.9545,0,2.3316
30,-1,-99999,-1,3.2417,0,0
31,-1,0,-1,2.4972,1,0
32,800,-99999,45,1.1265,0,1.0878
33,800,-99999,0,1.4229,1,1.872
34,-1,-99999,-1,1.3051,1,0
35,-1,-99999,-1,1.8721,0,0
36,-1,-99999,-1,1.306,0,0
37,-1,-99999,-1,1.4125,0,0
38,-1,0,-1,1.0834,0,0
39,-1,0,-1,0,NaN,0
40,-1,-99999,-1,1.1168,0,0
41,-1,-99999,-1,0.82784,1,0
42,-1,-99999,-1,0.96361,1,0
43,800,-99999,-45,0.81563,0,1.3209
44,-1,-99999,-1,2.5388,1,0
45,0,-99999,45,2.1161,1,1.1812
46,0,-99999,0,1.9255,1,1.5186
47,-1,-99999,-1,2.6707,0,0
48,-1,0,-1,1.2956,1,0
49,0,0,0,1.1516,1,1.6087
