number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,1.0189,0,0
2,0,-99999,45,1.0757,1,1.4047
3,-1,-99999,-1,1.9438,1,0
4,-1,-99999,-1,1.2328,1,0
5,-1,0,-1,0.87819,1,0
6,0,0,-45,0.87296,0,1.298
7,-1,0,-1,1.459,1,0
8,-1,-99999,-1,1.7488,1,0
9,0,0,-45,2.2468,1,0.82385
10,0,0,0,4.0061,NaN,1.7358
11,800,-99999,0,1.6168,1,2.3858
12,-1,-99999,-1,1.8888,1,0
13,-1,-99999,-1,1.0327,1,3.4018
14,-1,-99999,-1,1.8607,0,0
15,800,-99999,0,2.6327,0,1.1537
16,-1,-99999,-1,1.7827,1,0
17,-1,-99999,-1,3.3467,1,0
18,-1,-99999,-1,2.7667,0,0
19,-1,-99999,-1,1.5007,1,0
20,0,0,0,1.0261,1,1.4112
21,-1,0,-1,2.4968,1,0
22,800,-99999,45,0.96056,1,1.3856
23,-1,0,-1,1.0399,1,0
24,-1,0,-1,2.0208,0,0
25,0,-99999,45,1.1626,0,1.5877
26,-1,-99999,-1,1.6086,1,0
27,-1,-99999,-1,1.3745,0,0
28,800,-99999,0,1.0786,1,1.3997
29,-1,0,-1,0.76179,1,0
30,-1,-99999,-1,1.9604,1,0
31,-1,-99999,-1,1.0965,1,0
32,-1,-99999,-1,0.70459,1,0
33,-1,-99999,-1,1.0805,0,0
34,-1,-99999,-1,0.97242,1,0
35,-1,-99999,-1,1.3165,0,0
36,0,0,45,1.7184,0,1.0875
37,-1,-99999,-1,0.87445,1,0
38,0,-99999,-45,1.8244,1,1.2174
39,-1,0,-1,0.96769,1,0
40,0,-99999,0,2.0222,1,1.1273
41,-1,-99999,-1,0.87833,1,0
42,800,-99999,-45,1.6323,1,1.2334
43,-1,-99999,-1,1.0007,1,0
44,-1,0,-1,1.0116,0,0
45,-1,0,-1,0.76041,1,0
46,800,-99999,0,2.0503,0,1.5074
47,0,-99999,0,1.3284,1,1.6654
48,800,-99999,45,1.7623,0,1.4194
49,0,0,0,1.9075,0,1.6207
50,-1,0,-1,1.0766,1,0
51,0,0,0,1.5003,0,1.8213
52,0,-99999,0,1.8222,1,1.5113
53,0,-99999,-45,1.2433,1,1.4842
54,-1,-99999,-1,1.5112,1,0
55,-1,-99999,-1,1.4573,1,0
56,-1,-99999,-1,1.8052,1,0
57,-1,0,-1,0.71844,1,0
58,-1,-99999,-1,1.8991,0,0
59,-1,-99999,-1,1.3871,1,0
60,-1,-99999,-1,1.9672,1,0
61,-1,0,-1,1.2403,0,0
62,-1,0,-1,0.62895,1,0
63,800,-99999,-45,1.5492,1,1.1742
64,-1,0,-1,0.98924,1,0
65,-1,-99999,-1,1.0751,1,0
66,0,0,45,2.4485,1,0.90552
67,-1,-99999,-1,1.641,1,0
68,-1,0,-1,1.6564,1,0
69,0,-99999,0,0.66895,1,1.0465
70,-1,0,-1,0.81444,1,0
71,-1,-99999,-1,1.139,1,0
72,-1,-99999,-1,0.719,1,0
1,0,0,0,0.90418,1,1.1612
2,0,0,-45,0.74399,1,1.193
3,-1,-99999,-1,1.6619,1,0
4,800,-99999,-45,1.3238,0,0.86927
5,0,-99999,45,1.3498,1,1.087
6,-1,-99999,-1,1.0618,0,0
7,0,0,0,1.323,0,1.0442
8,-1,0,-1,0.70793,1,0
9,0,-99999,0,1.6097,0,1.2268
10,-1,-99999,-1,1.0098,1,0
11,800,-99999,0,0.74171,1,1.2708
12,-1,0,-1,1.1751,1,0
13,-1,0,-1,1.2941,1,0
14,0,-99999,0,1.6837,1,1.0048
15,0,-99999,0,1.5854,0,1.0985
16,-1,-99999,-1,0.98975,1,0
17,-1,0,-1,1.3271,1,0
18,800,-99999,0,1.4474,1,1.2727
19,-1,-99999,-1,1.0357,1,0
20,-1,-99999,-1,0.91169,1,0
21,-1,-99999,-1,1.1255,1,0
22,-1,-99999,-1,0.76965,1,0
23,-1,-99999,-1,1.1016,0,0
24,-1,0,-1,1.685,0,0
25,-1,0,-1,0.93177,1,0
26,-1,0,-1,0.91382,1,0
27,800,-99999,45,1.4556,0,1.0406
28,800,-99999,0,2.1255,1,1.7506
29,-1,0,-1,2.6458,0,0
30,0,0,45,1.2908,1,0.9879
31,-1,-99999,-1,1.7344,1,0
32,-1,-99999,-1,2.0766,1,0
33,800,-99999,0,1.5583,1,1.4076
34,-1,-99999,-1,1.5209,1,0
35,-1,-99999,-1,0.85452,1,0
36,-1,-99999,-1,0.88452,1,0
37,-1,-99999,-1,0.93033,1,0
38,-1,-99999,-1,0.95243,1,0
39,-1,-99999,-1,1.3784,0,0
40,-1,0,-1,1.0395,1,0
41,-1,-99999,-1,0.87233,1,0
42,-1,0,-1,0.81172,1,0
43,0,-99999,45,1.3763,1,1.1054
44,-1,-99999,-1,0.85035,1,0
45,-1,0,-1,1.3037,1,0
46,800,-99999,45,1.3663,0,1.0954
47,0,0,0,1.8141,0,1.5753
48,-1,-99999,-1,0.94436,1,0
49,-1,-99999,-1,0.75032,1,0
50,-1,-99999,-1,1.2444,1,0
