number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,0.68589,0,0
2,-1,0,-1,1.1408,1,0
3,-1,-99999,-1,0.68231,1,0
4,-1,-99999,-1,1.2096,1,0
5,-1,-99999,-1,0.90058,1,0
6,0,0,-45,1.4659,1,0.78699
7,-1,0,-1,0.86454,1,0
8,-1,0,-1,0.84348,1,0
9,-1,-99999,-1,0.79969,1,0
10,800,-99999,0,1.2359,0,0.35698
11,0,-99999,0,1.3134,0,0.96256
12,-1,0,-1,1.3995,1,0
13,-1,-99999,-1,1.4965,0,0
14,-1,-99999,-1,1.6792,1,0
15,800,-99999,45,1.4688,0,0.7173
16,-1,-99999,-1,1.5684,1,0
17,-1,0,-1,1.8876,1,0
18,800,-99999,-45,1.6747,1,0.33981
19,-1,-99999,-1,0.88339,1,0
20,-1,-99999,-1,1.0186,1,0
21,-1,-99999,-1,0.50998,1,0
22,-1,-99999,-1,0.91286,1,0
23,-1,-99999,-1,0.89544,1,0
24,0,-99999,0,0.64608,1,0.79902
25,-1,-99999,-1,1.0107,1,0
26,-1,0,-1,1.4978,1,0
27,-1,-99999,-1,0.72539,1,0
28,-1,0,-1,1.3661,1,0
29,-1,-99999,-1,1.1143,1,0
30,-1,-99999,-1,0.83165,1,0
31,-1,-99999,-1,0.6386,1,0
32,0,0,0,1.6695,1,0.32658
33,-1,-99999,-1,1.0545,0,0
34,-1,-99999,-1,1.2583,1,0
35,0,0,0,1.7478,1,0.30883
36,-1,0,-1,1.1538,1,0
37,800,-99999,0,1.2991,1,1.0683
38,-1,-99999,-1,1.5461,1,0
39,800,-99999,0,1.4556,0,0.32069
40,-1,-99999,-1,0.75299,1,0
41,-1,-99999,-1,1.0218,1,0
42,-1,-99999,-1,0.85231,1,0
43,-1,0,-1,1.208,1,0
44,-1,0,-1,0.8769,1,0
45,0,-99999,0,1.1672,1,0.65637
46,-1,-99999,-1,2.1006,1,0
47,-1,0,-1,0.78708,1,0
48,0,-99999,-45,1.2622,0,0.31929
49,-1,0,-1,0.67926,1,0
50,-1,-99999,-1,1.2846,1,0
51,-1,0,-1,0.63881,1,0
52,0,0,0,1.7244,0,0.82945
53,-1,0,-1,1.0475,1,0
54,0,-99999,45,1.9278,1,0.55289
55,0,-99999,0,1.2504,1,0.59547
56,-1,0,-1,0.48171,1,0
57,0,0,45,1.1089,1,0.64601
58,-1,-99999,-1,0.97134,1,0
59,-1,-99999,-1,0.65664,1,0
60,-1,-99999,-1,1.7446,0,0
61,800,-99999,-45,2.6905,1,0.67511
62,0,-99999,45,1.1704,1,0.56348
63,-1,-99999,-1,1.259,1,0
64,-1,-99999,-1,0.53863,1,0
65,0,0,-45,0.92677,0,0.68795
66,0,-99999,-45,0.87007,1,0.67131
67,-1,-99999,-1,1.4023,1,0
68,0,0,45,1.4445,0,0.42947
69,800,-99999,45,1.5542,1,1.1554
70,0,0,0,1.0261,1,0.45117
71,-1,-99999,-1,0.94606,1,0
72,800,-99999,0,1.5224,0,0.47537
1,-1,-99999,-1,0.91308,1,0
2,-1,0,-1,0.89611,1,0
3,-1,0,-1,0.64339,1,0
4,-1,-99999,-1,0.76138,1,0
5,-1,-99999,-1,1.4235,1,0
6,-1,0,-1,1.3678,1,0
7,-1,-99999,-1,0.77669,1,0
8,-1,-99999,-1,0.71609,1,0
9,-1,0,-1,2.6318,0,0
10,800,-99999,0,1.1202,1,0.44925
11,-1,-99999,-1,0.91604,1,0
12,0,0,0,0.98746,1,0.55658
13,-1,-99999,-1,2.5589,1,0
