number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,0.61432,0,0
2,-1,-99999,-1,1.3781,0,0
3,800,-99999,-45,1.9508,0,1.1518
4,800,-99999,-45,0.86319,0,1.2802
5,-1,-99999,-1,0.92566,1,0
6,-1,-99999,-1,1.2495,1,0
7,-1,0,-1,1.7825,1,0
8,-1,-99999,-1,1.1116,0,0
9,0,0,0,1.8354,0,1.1405
10,0,-99999,0,0.86639,1,1.3395
11,-1,-99999,-1,0.76146,1,0
12,-1,0,-1,0.89683,0,0
13,-1,-99999,-1,1.826,1,0
14,800,-99999,0,0.70748,0,1.1725
15,0,0,-45,0.75885,1,1.3359
16,800,-99999,45,0.85844,0,1.4435
17,-1,-99999,-1,0.95964,1,0
18,-1,-99999,-1,1.1426,1,0
19,-1,-99999,-1,1.3547,1,0
20,-1,0,-1,0.95878,0,0
21,0,-99999,0,0.88826,0,1.2893
22,-1,0,-1,0.87351,1,0
23,-1,-99999,-1,0.95739,1,0
24,-1,0,-1,1.1825,0,0
25,0,-99999,-45,0.9391,1,1.4922
26,-1,-99999,-1,1.0177,1,0
27,-1,0,-1,0.71101,1,0
28,-1,0,-1,0.97503,1,0
29,-1,0,-1,1.2231,0,0
30,-1,0,-1,1.2652,1,0
31,0,-99999,0,0.99701,0,1.5341
32,-1,-99999,-1,1.0716,1,0
33,-1,0,-1,0.90304,1,0
34,-1,-99999,-1,0.6551,1,0
35,0,-99999,0,0.93178,1,1.4128
36,0,0,0,1.0021,1,1.3311
37,-1,-99999,-1,1.454,0,0
38,-1,-99999,-1,1.0891,1,0
39,0,0,0,2.6765,1,1.2055
40,-1,0,-1,0.91985,0,0
41,800,-99999,0,0.9234,1,1.4124
42,-1,-99999,-1,0.73861,1,0
43,800,-99999,45,1.0524,1,1.5975
44,-1,-99999,-1,1.0378,1,0
45,-1,-99999,-1,1.0404,1,0
46,-1,-99999,-1,0.76133,1,0
47,0,-99999,45,0.83591,1,1.3809
48,-1,0,-1,0.71233,1,0
49,-1,-99999,-1,0.72504,1,0
50,800,-99999,0,0.8268,1,1.3001
51,-1,-99999,-1,1.0449,0,0
52,0,-99999,-45,0.85514,1,1.2961
53,-1,-99999,-1,1.1073,1,0
54,0,0,0,1.0335,1,1.4826
55,-1,-99999,-1,1.4566,0,0
56,800,-99999,0,0.85315,1,1.3103
57,-1,-99999,-1,0,NaN,0
58,0,0,-45,0.93095,1,1.356
59,-1,0,-1,1.1446,0,0
60,-1,-99999,-1,1.0291,0,0
61,-1,-99999,-1,1.6997,1,0
62,-1,-99999,-1,0,NaN,0
63,-1,-99999,-1,1.0941,0,0
64,0,0,45,0.88403,1,1.3331
65,-1,-99999,-1,0.80205,1,0
66,0,0,45,1.6526,1,2.0697
67,-1,0,-1,1.2055,1,0
68,-1,-99999,-1,1.8381,1,0
69,-1,0,-1,1.049,0,0
70,-1,-99999,-1,2.5797,1,0
71,-1,-99999,-1,0,NaN,0
72,0,-99999,45,1.9232,1,1.2603
1,-1,0,-1,0.8203,1,0
2,-1,-99999,-1,1.1771,1,0
3,-1,-99999,-1,0.68404,1,0
4,-1,-99999,-1,1.5517,1,0
5,800,-99999,0,1.6988,0,1.1
6,-1,-99999,-1,1.3633,1,0
7,-1,-99999,-1,0.82813,1,0
8,-1,0,-1,0.73334,1,0
9,800,-99999,0,3.9994,NaN,1.1956
10,-1,-99999,-1,1.5217,1,0
11,800,-99999,0,0.79852,1,1.1916
12,-1,-99999,-1,1.0716,0,0
13,-1,-99999,-1,0.75077,0,0
14,0,-99999,0,2.0849,0,1.0859
15,-1,0,-1,0.8199,1,0
16,-1,0,-1,0.77344,1,0
17,800,-99999,-45,0.99851,0,1.2555
18,800,-99999,0,1.5661,0,1.0072
19,-1,-99999,-1,1.3067,0,0
20,-1,-99999,-1,0.90712,0,0
21,-1,-99999,-1,0.79044,1,0
22,0,-99999,-45,0.92367,1,1.5727
23,-1,-99999,-1,0.86013,0,0
24,-1,0,-1,0.97266,0,0
25,-1,-99999,-1,0.85406,1,0
26,0,0,-45,1.3994,1,0.99247
27,800,-99999,45,0.82585,1,1.1949
28,-1,-99999,-1,1.2221,1,0
29,0,-99999,45,1.4666,0,1.0917
30,800,-99999,-45,2.1418,1,0.99059
31,-1,0,-1,1.1328,1,0
32,0,-99999,45,1.152,1,1.513
33,0,0,0,0.90057,1,1.2856
34,-1,-99999,-1,0.88714,1,0
35,-1,-99999,-1,0.95073,1,0
36,-1,-99999,-1,1.864,1,0
37,-1,0,-1,0.75993,0,0
38,-1,-99999,-1,1.8043,1,0
39,-1,-99999,-1,1.479,1,0
40,-1,-99999,-1,1.6047,1,0
41,-1,-99999,-1,1.1558,1,0
42,0,0,45,2.042,0,0.70714
43,-1,0,-1,0,NaN,0
44,-1,-99999,-1,0.92552,1,0
45,0,0,0,0.88789,1,1.209
46,-1,0,-1,2.7243,0,0
47,-1,0,-1,1.0838,0,0
48,-1,-99999,-1,0.82259,1,0
49,800,-99999,45,0.69586,1,1.1768
50,-1,-99999,-1,1.2959,1,0
51,-1,0,-1,1.2632,1,0
52,-1,-99999,-1,0.99903,1,0
53,-1,0,-1,1.2551,1,0
54,-1,-99999,-1,0.7618,1,0
55,0,-99999,0,1.4516,1,1.0847
56,-1,-99999,-1,1.2146,1,0
57,0,0,0,1.5664,0,1.2395
58,-1,0,-1,0.96143,1,0
59,0,-99999,0,1.4253,0,1.0585
60,-1,-99999,-1,0.82787,0,0
61,0,-99999,-45,1.3976,1,0.98314
62,-1,0,-1,1.379,1,0
63,0,0,-45,1.6179,1,1.051
64,-1,-99999,-1,0.69917,1,0
65,-1,-99999,-1,0.70328,1,0
66,-1,-99999,-1,0,NaN,0
67,-1,0,-1,0,NaN,0
68,-1,0,-1,0.66973,0,0
69,0,0,45,0.65908,1,1.0202
70,0,0,0,1.4285,0,1.0616
71,0,-99999,0,0.96586,0,1.3509
72,-1,-99999,-1,1.2272,1,0
1,800,-99999,45,1.228,1,1.5249
2,-1,0,-1,1.301,0,0
3,-1,-99999,-1,0.90422,1,0
4,-1,0,-1,1.4057,1,0
5,-1,-99999,-1,1.6008,1,0
6,-1,0,-1,1.0581,1,0
7,800,-99999,0,0.68542,1,1.0624
8,-1,0,-1,1.0662,1,0
9,-1,-99999,-1,1.3388,0,0
10,-1,-99999,-1,1.1814,1,0
11,-1,-99999,-1,1.2906,1,0
12,0,0,45,2.3247,0,0.9502
13,-1,-99999,-1,1.3954,1,0
14,-1,0,-1,0.79634,1,0
15,-1,-99999,-1,1.9974,0,0
16,0,-99999,45,1.4619,1,0.97522
17,-1,-99999,-1,1.1154,1,0
18,0,-99999,0,1.1398,1,0.92499
19,-1,-99999,-1,2.2105,1,0
20,-1,-99999,-1,1.4404,0,0
21,-1,-99999,-1,0,NaN,0
22,800,-99999,0,1.4031,1,0.92428
23,-1,0,-1,0.87685,1,0
24,800,-99999,-45,1.3875,1,0.87665
25,-1,0,-1,1.2887,1,0
26,-1,-99999,-1,1.3425,1,0
27,-1,0,-1,1.8072,1,0
28,-1,-99999,-1,1.8982,1,0
29,-1,-99999,-1,1.6717,1,0
30,-1,-99999,-1,0.87121,1,0
31,0,-99999,0,1.2662,1,1.0198
32,-1,0,-1,0,NaN,0
33,0,0,-45,1.7188,1,1.3197
34,-1,0,-1,0.96968,1,0
35,0,-99999,0,1.1938,1,0.9949
36,0,0,-45,1.4471,1,1.0882
37,-1,-99999,-1,1.2494,0,0
38,800,-99999,0,1.4195,1,1.0046
39,800,-99999,45,1.7131,0,0.88226
40,-1,0,-1,1.0225,1,0
41,-1,-99999,-1,1.1103,1,0
42,-1,-99999,-1,0.72662,1,0
43,-1,-99999,-1,1.0221,0,0
44,-1,-99999,-1,1.2607,1,0
45,-1,0,-1,0.7973,1,0
46,-1,-99999,-1,1.1381,1,0
47,0,-99999,45,2.0329,1,1.586
48,-1,-99999,-1,0.87917,1,0
49,-1,-99999,-1,0.79612,1,0
50,-1,-99999,-1,1.0807,1,0
51,-1,-99999,-1,2.0277,1,0
52,-1,-99999,-1,1.2772,1,0
53,-1,-99999,-1,0.77558,1,0
54,0,0,0,1.5234,1,1.0445
55,0,0,0,1.7985,0,1.0635
56,-1,0,-1,0.82346,1,0
57,-1,-99999,-1,0,NaN,0
58,0,0,0,1.3814,0,1.0545
59,0,-99999,-45,0.92386,0,1.6769
60,0,0,0,1.5135,1,1.1227
61,0,-99999,0,1.7257,1,2.1748
62,-1,0,-1,1.6283,0,0
63,-1,0,-1,0,NaN,0
64,800,-99999,0,1.6896,0,1.2187
65,0,-99999,-45,0.80674,1,1.2799
66,0,0,45,0.80216,1,1.2192
67,-1,0,-1,0.98419,1,0
68,-1,-99999,-1,0.95085,1,0
69,-1,-99999,-1,0.86338,1,0
70,-1,-99999,-1,1.3723,0,0
71,-1,-99999,-1,1.6986,0,0
72,800,-99999,-45,1.4594,1,1.0366
1,-1,0,-1,0.85296,1,0
2,0,-99999,0,1.3028,0,1.0079
3,800,-99999,0,0.98922,1,1.3023
4,-1,-99999,-1,1.0054,1,0
5,-1,-99999,-1,0.93234,1,0
6,0,-99999,-45,1.1892,0,0.92642
7,-1,0,-1,0.69268,1,0
8,-1,-99999,-1,0.77847,1,0
9,-1,0,-1,1.2141,0,0
10,0,-99999,-45,1.404,1,1.0131
11,-1,0,-1,0.83494,1,0
12,-1,-99999,-1,0.97017,0,0
13,-1,-99999,-1,0,NaN,0
14,800,-99999,45,1.298,1,1.0353
15,800,-99999,-45,1.6995,0,1.1246
16,-1,-99999,-1,1.023,1,0
17,-1,0,-1,1.2926,1,0
18,-1,-99999,-1,0.82408,0,0
19,-1,-99999,-1,1.0881,0,0
20,800,-99999,0,1.7584,1,0.82348
21,-1,0,-1,0.74607,1,0
22,-1,0,-1,0,NaN,0
23,-1,0,-1,0.82583,1,0
24,-1,-99999,-1,0.86227,0,0
25,0,0,0,1.5198,1,0.88871
26,-1,-99999,-1,1.8362,1,0
27,0,0,45,0.73259,1,1.0937
28,-1,-99999,-1,1.5414,0,0
29,-1,0,-1,0.95747,1,0
30,-1,-99999,-1,1.1137,1,0
31,-1,-99999,-1,2.4168,1,0
32,-1,-99999,-1,0.91988,1,0
33,-1,-99999,-1,1.0421,1,0
34,-1,-99999,-1,0,NaN,0
35,-1,0,-1,0,NaN,0
36,0,0,0,1.352,1,1.0412
37,-1,-99999,-1,1.2648,0,0
38,0,0,0,1.7144,1,1.0275
39,0,-99999,0,1.3127,0,0.8098
40,800,-99999,-45,1.4394,1,0.94441
41,-1,-99999,-1,1.4182,1,0
42,0,0,-45,1.2808,1,1.0339
43,-1,-99999,-1,1.1502,1,0
44,-1,0,-1,1.3422,1,0
45,0,-99999,45,1.4032,1,1.0523
46,800,-99999,0,1.2748,1,1.004
47,0,-99999,45,1.4146,1,1.0078
48,-1,-99999,-1,0.99536,1,0
49,0,0,-45,1.6825,1,1.3957
50,-1,0,-1,0.86201,1,0
51,-1,0,-1,1.5388,1,0
52,-1,-99999,-1,2.4938,0,0
53,-1,-99999,-1,0.81873,1,0
54,-1,0,-1,0.96568,1,0
55,-1,-99999,-1,0.84846,1,0
56,0,-99999,0,1.3637,1,1.1248
57,-1,-99999,-1,1.8281,0,0
58,-1,-99999,-1,1.1679,1,0
59,-1,-99999,-1,1.2224,1,0
60,-1,-99999,-1,0.95599,0,0
61,0,0,0,1.4444,0,1.0776
62,-1,0,-1,1.0711,1,0
63,-1,-99999,-1,0,NaN,0
64,-1,-99999,-1,1.8891,1,0
65,0,-99999,0,0.73851,1,1.1716
66,-1,-99999,-1,0.86591,1,0
67,800,-99999,0,1.3829,1,0.99197
68,-1,0,-1,1.2441,0,0
69,0,0,45,1.3006,1,0.94972
70,-1,-99999,-1,1.3166,1,0
71,800,-99999,45,1.2673,1,0.98052
72,-1,-99999,-1,1.0263,1,0
