number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,0.74412,0,0
2,-1,0,-1,1.0194,1,0
3,0,0,45,0.90407,1,0.4012
4,0,0,0,0.49103,0,0.95604
5,0,-99999,0,1.2125,1,0.51759
6,-1,0,-1,0.72633,0,1.3835
7,0,0,-45,1.5027,0,0.62386
8,800,-99999,0,1.3307,0,0.65181
9,-1,-99999,-1,0.88849,0,0
10,0,-99999,45,1.1735,1,0.56656
11,-1,-99999,-1,1.3972,0,0.54234
12,-1,-99999,-1,0.51727,0,0
13,-1,-99999,-1,0.91519,1,0
14,800,-99999,-45,3.9984,NaN,0.97706
15,-1,0,-1,1.0535,0,0
16,-1,-99999,-1,1.5496,1,0
17,800,-99999,45,1.5663,1,0.82339
18,-1,0,-1,1.4074,0,0
19,0,0,0,3.7161,1,0.63675
20,-1,-99999,-1,2.1922,1,0
21,-1,-99999,-1,1.0734,1,0
22,0,0,45,3.9984,NaN,0.60904
23,0,-99999,45,2.0998,1,0.59722
24,-1,0,-1,2.8986,0,0.97169
25,800,-99999,45,1.4289,0,0.58208
26,-1,-99999,-1,0.88725,0,0
27,-1,-99999,-1,1.2788,1,0
28,-1,0,-1,0,NaN,0
29,-1,-99999,-1,0.96479,1,0
30,-1,-99999,-1,1.0569,0,0
31,-1,-99999,-1,1.9561,0,0
32,-1,0,-1,1.5144,0,0
33,-1,0,-1,1.1963,0,0
34,-1,-99999,-1,0.8333,1,0
35,0,-99999,-45,1.5944,0,0.68346
36,-1,0,-1,1.0277,0,0
37,0,0,0,2.012,0,0.66108
38,-1,-99999,-1,1.2243,1,0
39,-1,0,-1,2.222,0,0
40,-1,-99999,-1,0.95183,1,0
41,0,0,-45,1.5309,0,0.64396
42,-1,-99999,-1,1.0652,1,0
43,-1,0,-1,1.5708,1,0
44,-1,-99999,-1,1.2775,0,0
45,800,-99999,0,2.5564,0,1.6455
46,800,-99999,0,3.9996,NaN,0.68928
47,-1,0,-1,0.63638,0,0
48,-1,-99999,-1,0.97213,0,0
49,0,-99999,0,3.9984,NaN,0.68758
50,0,-99999,0,1.1442,0,0.52132
51,800,-99999,-45,1.2095,0,0.76254
52,-1,-99999,-1,1.0164,1,0
53,800,-99999,0,3.9984,NaN,0.63469
54,-1,-99999,-1,1.4801,0,0
55,-1,-99999,-1,1.4164,0,0
56,-1,-99999,-1,1.8933,1,0
57,0,-99999,-45,0.96821,0,3.1533
58,-1,-99999,-1,1.5688,0,0
59,-1,-99999,-1,0.98057,0,0
60,-1,-99999,-1,0.98178,0,0
61,-1,-99999,-1,2.2576,1,0
62,0,0,0,1.2037,0,0.56479
63,-1,-99999,-1,1.572,0,0
64,-1,0,-1,1.763,1,0
65,-1,0,-1,1.604,0,0
66,-1,-99999,-1,1.171,1,0
67,-1,-99999,-1,1.4298,0,0
68,-1,-99999,-1,0.87364,0,0
69,0,-99999,0,1.299,0,0.62008
70,-1,-99999,-1,1.1441,1,0
71,-1,-99999,-1,1.0291,0,0
72,-1,0,-1,1.6158,0,0.71283
1,800,-99999,-45,1.2059,0,1.3507
2,-1,-99999,-1,0.90447,0,0
3,-1,-99999,-1,0.91783,0,0
4,-1,-99999,-1,1.2928,0,0
5,-1,0,-1,1.4817,1,0
6,-1,0,-1,0.92267,1,0
7,-1,0,-1,0.85453,0,0
8,0,-99999,-45,1.5203,0,0.69698
9,0,0,-45,1.2372,1,0.64626
10,-1,0,-1,1.0257,0,0
11,-1,-99999,-1,0.69992,0,0
12,-1,-99999,-1,1.6682,0,0
13,800,-99999,0,1.0125,1,0.55766
14,800,-99999,45,0.93873,0,0.48383
15,-1,-99999,-1,0.76052,1,0
16,-1,0,-1,1.2125,0,0
17,0,-99999,0,3.9983,NaN,0.53694
18,-1,-99999,-1,0.73767,1,0
19,-1,0,-1,0,NaN,0
20,0,0,-45,0.61817,0,0.90712
21,-1,0,-1,0,NaN,0
22,-1,-99999,-1,0.82859,0,0
23,-1,-99999,-1,0.92335,0,0
24,0,0,0,1.7242,1,0.55726
25,-1,-99999,-1,0.95176,1,0
26,0,-99999,45,1.0399,1,0.58503
27,0,0,0,1.107,1,0.56408
28,-1,-99999,-1,1.1244,0,0
29,-1,0,-1,0.61518,0,0
30,-1,-99999,-1,0.70754,0,0
31,-1,-99999,-1,0.67265,1,0
32,0,-99999,0,0.53463,0,0.91173
33,0,0,0,1.1592,1,0.57629
34,-1,-99999,-1,0.61469,0,0
35,-1,-99999,-1,1.0485,1,0
36,-1,-99999,-1,0.84666,0,0
37,-1,-99999,-1,0.5452,0,0
38,-1,0,-1,0,NaN,0
39,800,-99999,0,0.94592,1,0.49895
40,-1,0,-1,0.49595,0,0
41,-1,-99999,-1,1.0084,1,0
42,-1,-99999,-1,0.44984,0,0
43,-1,0,-1,0.80304,0,0
44,0,-99999,45,1.146,1,0.56314
45,-1,-99999,-1,0.59277,0,0
46,0,0,45,1.7935,0,0.58662
47,800,-99999,0,1.355,0,0.732
48,-1,0,-1,1.2003,1,0
49,-1,-99999,-1,1.1869,1,0
50,-1,-99999,-1,1.7062,0,0
51,-1,-99999,-1,0.80691,0,0
52,-1,-99999,-1,0.81348,0,0
53,-1,-99999,-1,0.97645,0,0
54,-1,-99999,-1,1.0987,1,0
55,800,-99999,45,1.6594,0,0.55647
56,0,-99999,0,1.6558,0,0.61684
57,-1,-99999,-1,1.2057,0,0
58,800,-99999,0,1.214,1,0.60707
59,-1,0,-1,0.86908,0,0
60,-1,0,-1,1.2143,0,0
61,0,-99999,-45,1.5504,0,0.62335
62,-1,0,-1,1.0491,0,0
63,0,0,0,1.0377,0,0.50278
64,0,0,45,1.4941,1,0.48725
65,-1,0,-1,0.92726,1,0
66,0,-99999,0,2.0887,1,0.6658
67,-1,-99999,-1,0.84331,0,0
68,-1,-99999,-1,0.97173,0,0
69,800,-99999,-45,1.127,0,0.82419
70,-1,-99999,-1,1.0892,1,0
71,-1,-99999,-1,0.89894,0,0
72,-1,-99999,-1,0.75034,0,0
1,-1,-99999,-1,0.77829,1,0
2,-1,0,-1,1.0414,1,0
3,-1,-99999,-1,0.91779,0,0
4,0,-99999,45,1.1556,1,0.66876
5,-1,-99999,-1,0.80539,0,0
