number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
9,-1,-99999,-1,0.92861,1,0
10,-1,-99999,-1,0.7276,1,0
11,0,-99999,-45,0.95804,1,0.63919
12,-1,-99999,-1,0.71632,1,0
13,-1,-99999,-1,0.89698,0,0
14,-1,0,-1,0.99479,0,0
15,-1,-99999,-1,0.92145,1,0
16,800,-99999,0,0.98802,1,0.66949
17,-1,-99999,-1,0.96703,1,0
18,-1,-99999,-1,0.896,1,0
19,0,0,0,0.98307,1,0.72828
20,-1,-99999,-1,0.70961,1,0
21,-1,-99999,-1,1.3443,1,0
22,-1,-99999,-1,0.77996,1,0
23,-1,0,-1,0.71013,1,0
24,-1,0,-1,0.76536,1,0
25,-1,-99999,-1,0.93799,1,0
26,0,0,45,0.70002,1,1.0611
27,-1,0,-1,0.75206,1,0
28,-1,0,-1,1.145,0,0
29,800,-99999,0,0.95738,1,0.72661
30,-1,0,-1,0.93271,0,0
31,0,0,0,0.72013,0,0.47338
32,-1,-99999,-1,0.73603,1,0
33,-1,-99999,-1,0,NaN,0
34,-1,0,-1,1.0916,0,0
35,800,-99999,0,1.1838,1,0.96929
36,-1,-99999,-1,1.0625,0,0
37,-1,-99999,-1,0.92357,1,0
38,-1,-99999,-1,1.0741,0,0
39,-1,-99999,-1,0.89772,1,0
40,-1,0,-1,0.93502,1,0
41,0,-99999,0,0.76513,0,0.53431
42,-1,0,-1,0.7244,1,0
43,0,-99999,45,1.1783,1,0.7954
44,-1,0,-1,0.77072,1,0
45,0,0,0,3.9988,NaN,0.49091
46,0,-99999,0,1.1173,1,0.76641
47,-1,-99999,-1,0.80152,1,0
48,-1,-99999,-1,1.2144,1,0
49,0,-99999,-45,1.1338,1,0.79095
50,0,0,-45,0.94711,1,1.3642
51,0,-99999,0,1.1913,0,0.83248
52,-1,0,-1,0.71424,1,0
53,-1,-99999,-1,0.75244,1,0
54,-1,0,-1,0.89101,1,0
55,-1,0,-1,0.86825,1,0
56,-1,-99999,-1,0,NaN,0
57,-1,-99999,-1,0.65901,1,0
58,-1,-99999,-1,1.1048,1,0
59,0,-99999,0,1.1381,1,0.79526
60,-1,-99999,-1,0.69955,1,0
61,0,0,45,1.1725,0,0.80546
62,800,-99999,45,1.0479,1,0.81702
63,-1,0,-1,0.86648,1,0
64,-1,-99999,-1,0,NaN,0
65,-1,0,-1,0,NaN,0
66,0,0,-45,1.0486,1,0.76181
67,-1,-99999,-1,0,NaN,0
68,800,-99999,0,1.0113,0,0.72445
69,-1,-99999,-1,0.786,1,0
70,-1,-99999,-1,1.0095,1,0
71,-1,0,-1,0,NaN,0
72,-1,-99999,-1,0.71746,1,0
1,-1,-99999,-1,1.2977,1,0
2,-1,-99999,-1,0.91196,0,0
3,800,-99999,45,0.78066,0,0.51788
4,-1,-99999,-1,0.98893,0,0
5,0,-99999,45,0.92267,1,0.57184
6,-1,-99999,-1,1.0405,0,0
7,-1,0,-1,0.75336,1,0
8,-1,-99999,-1,0.81887,0,0
9,-1,0,-1,0.8107,1,0
10,800,-99999,0,1.0389,1,0.8241
11,-1,0,-1,0.8293,1,0
12,-1,-99999,-1,0.61049,1,0
13,0,0,45,1.235,1,0.98824
14,800,-99999,0,1.3757,0,1.0728
15,-1,-99999,-1,0.84751,1,0
16,-1,0,-1,0,NaN,0
17,-1,0,-1,0.94933,1,0
18,-1,-99999,-1,1.0391,0,0
19,-1,-99999,-1,0.61503,1,0
20,-1,-99999,-1,0,NaN,0
21,0,-99999,0,1.2331,1,0.92225
22,-1,-99999,-1,0.75411,1,0
23,-1,-99999,-1,0.74433,1,0
24,-1,-99999,-1,0.68939,1,0
25,800,-99999,0,0.99956,0,0.76077
26,-1,-99999,-1,0.73766,1,0
27,-1,-99999,-1,0.53215,1,0
28,-1,-99999,-1,0.77116,1,0
29,-1,0,-1,0.79528,0,0
30,-1,-99999,-1,0.71643,1,0
31,800,-99999,0,3.9986,NaN,0.9254
32,-1,-99999,-1,0,NaN,0
33,-1,0,-1,0.89178,1,0
34,-1,0,-1,1.0727,1,0
35,-1,-99999,-1,0.70499,1,0
36,0,-99999,0,1.3644,1,1.1015
37,0,-99999,-45,1.2686,0,0.80565
38,-1,-99999,-1,0.69355,1,0
39,-1,-99999,-1,0,NaN,0
40,0,0,0,0.65835,1,1.0274
41,0,-99999,45,1.1716,1,0.78064
42,0,0,0,1.0691,1,0.63022
43,-1,0,-1,0.65093,1,0
44,-1,-99999,-1,0.79725,1,0
45,-1,-99999,-1,0.68574,1,0
46,-1,0,-1,0.7521,1,0
47,-1,0,-1,0.77382,1,0
48,800,-99999,-45,0.79233,1,0.56157
49,-1,-99999,-1,0.72596,1,0
50,-1,0,-1,0.97397,1,0
51,-1,-99999,-1,0.60755,0,0
52,-1,0,-1,0.77251,1,0
53,-1,-99999,-1,0.73347,1,0
54,0,-99999,0,1.0535,1,0.89482
55,-1,-99999,-1,0.93432,1,0
56,0,0,45,0.9073,1,0.73257
57,-1,-99999,-1,0.84469,1,0
58,0,0,0,1.4159,1,0.85699
59,-1,-99999,-1,0.73022,1,0
60,-1,0,-1,0.54827,1,0
61,-1,-99999,-1,0.64714,1,0
62,0,0,-45,0.66383,1,0.99311
63,0,-99999,-45,0.82138,1,0.59059
64,0,0,0,1.1098,1,0.9191
65,0,0,-45,1.0705,1,0.82363
66,-1,0,-1,0.91716,1,0
67,800,-99999,-45,1.1214,1,0.68254
68,-1,-99999,-1,0.82144,1,0
69,-1,0,-1,0.75304,1,0
70,-1,-99999,-1,0.81931,1,0
71,0,-99999,0,3.9984,NaN,0.55457
72,800,-99999,45,1.0153,1,0.71241
