number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,1.2562,0,0
2,-1,-99999,-1,0.72658,1,0
3,-1,-99999,-1,1.0465,1,0
4,-1,-99999,-1,0.7405,1,0
5,-1,-99999,-1,1.8224,1,0
6,-1,0,-1,1.1939,1,0
7,800,-99999,0,2.7543,1,0.7395
8,-1,0,-1,1.2776,1,0
9,-1,0,-1,1.2098,1,0
10,-1,-99999,-1,0.68527,1,0
11,-1,0,-1,1.1284,1,0
12,-1,-99999,-1,1.2604,1,0
13,-1,0,-1,1.3279,1,0
14,-1,-99999,-1,1.0284,1,0
15,0,0,-45,2.4134,1,0.63045
16,-1,-99999,-1,0.94902,1,0
17,-1,-99999,-1,1.0588,1,0
18,-1,-99999,-1,0.70251,1,0
19,800,-99999,-45,2.1787,1,0.7157
20,-1,-99999,-1,0.90363,1,0
21,0,-99999,-45,1.2205,1,0.80581
22,-1,-99999,-1,0.93588,1,0
23,-1,0,-1,0.4841,0,0
24,-1,-99999,-1,0.63237,1,0
25,-1,-99999,-1,0.87922,1,0
26,-1,-99999,-1,0.98314,1,0
27,0,-99999,45,1.814,1,0.83898
28,0,0,45,2.1737,1,1.1508
29,0,-99999,0,0.76682,1,1.1759
30,800,-99999,0,1.1358,1,0.82527
31,-1,0,-1,1.3758,1,0
32,-1,-99999,-1,2.4684,1,0
33,800,-99999,45,1.1101,1,0.69518
34,-1,0,-1,0.90242,1,0
35,-1,-99999,-1,1.1068,1,0
36,-1,-99999,-1,1.0078,1,0
37,0,0,0,0.73331,1,1.2143
38,0,-99999,-45,1.214,0,0.73511
39,0,-99999,0,1.0357,1,0.75697
40,-1,-99999,-1,0.77878,1,0
41,0,-99999,0,1.1718,1,1.5248
42,-1,-99999,-1,1.346,1,0
43,-1,-99999,-1,1.276,1,0
44,-1,-99999,-1,1.0432,1,0
45,-1,-99999,-1,0.55767,1,0
46,-1,-99999,-1,0.95062,1,0
47,-1,-99999,-1,1.1749,1,0
48,-1,0,-1,0.89802,1,0
49,800,-99999,-45,1.7003,1,0.71713
50,0,0,0,2.3029,1,1.0559
51,-1,-99999,-1,1.018,1,0
