number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.72118,1,0
2,0,0,-45,0.93683,1,0.4419
3,800,-99999,45,0.68643,1,0.43191
4,0,0,0,0.67344,0,0.44277
5,800,-99999,45,0.88229,1,0.50738
6,-1,0,-1,0.47749,0,0.3748
7,800,-99999,-45,1.2739,1,0.48297
8,0,-99999,-45,0.6968,1,0.50598
9,-1,0,-1,0,NaN,0
10,0,0,0,0,NaN,0.56414
11,-1,-99999,-1,0,NaN,0
12,-1,0,-1,0.66117,0,0
13,0,0,-45,2.9129,0,0.55398
14,-1,0,-1,0.86967,1,0
15,0,-99999,-45,0.81575,1,0.48088
16,-1,-99999,-1,0.70051,0,0
17,-1,-99999,-1,0.4165,1,0
18,-1,-99999,-1,0.71926,1,0
19,-1,-99999,-1,0.67011,1,0
20,-1,-99999,-1,0.502,1,0
21,-1,-99999,-1,0.582,1,0
22,-1,0,-1,0.45521,1,0
23,-1,-99999,-1,0.78365,1,0
24,-1,0,-1,0.46809,1,0
25,0,-99999,45,0.89206,1,0.53314
26,-1,0,-1,0.64398,1,0
27,0,-99999,0,0.95511,1,0.62823
28,-1,0,-1,0.55037,1,0
29,-1,-99999,-1,0.41399,1,0
30,0,-99999,45,1.0526,1,0.55773
31,0,0,0,0.86496,0,0.61015
32,0,0,0,0.64941,0,0.48259
33,-1,-99999,-1,0.673,1,0
34,0,0,45,0.52193,1,0.36355
35,-1,0,-1,0.70527,1,0
36,0,-99999,0,0.80452,0,0.6057
37,-1,-99999,-1,0.71262,1,0
38,-1,0,-1,0.58317,1,0
39,-1,-99999,-1,0.55543,1,0
40,-1,-99999,-1,0.72671,1,0
41,-1,-99999,-1,0.54529,1,0
42,-1,0,-1,0.58165,1,0
43,800,-99999,0,0.81598,0,0.63312
44,-1,-99999,-1,0.58784,1,0
45,-1,-99999,-1,0.5676,1,0
46,800,-99999,0,0.83476,1,0.67572
47,800,-99999,-45,0.61785,0,0.4913
48,-1,0,-1,0.58002,0,0
49,-1,-99999,-1,0.65991,1,0
50,-1,-99999,-1,0.6129,1,0
51,-1,-99999,-1,0.68087,1,0
52,800,-99999,0,0.79586,0,0.65315
53,-1,0,-1,0.63878,0,0
54,-1,0,-1,0.67229,1,0
55,-1,-99999,-1,0.6367,1,0
56,0,-99999,0,0.76502,1,0.59823
57,0,-99999,0,0.65673,1,0.84968
58,-1,-99999,-1,0.70009,0,0
59,-1,-99999,-1,0.61027,1,0
60,-1,-99999,-1,0.61352,1,0
61,-1,0,-1,0.59889,1,0
62,-1,-99999,-1,0.60802,1,0
63,-1,-99999,-1,0.83618,0,0
64,-1,-99999,-1,0.64074,0,0
65,-1,0,-1,0.55966,1,0
66,-1,-99999,-1,1.4032,1,0
67,-1,-99999,-1,0.53341,1,0
68,0,0,45,1.1071,1,0.60425
69,-1,-99999,-1,0.57333,1,0
70,800,-99999,0,0.86225,0,0.55145
71,-1,-99999,-1,0.62075,1,0
72,-1,-99999,-1,0.4838,1,0
1,0,-99999,45,0.86657,0,0.59572
2,-1,-99999,-1,0.47519,1,0
3,-1,-99999,-1,0.56976,1,0
4,-1,0,-1,0.63857,0,0
5,-1,-99999,-1,0.6127,0,0
6,0,0,45,0.62367,1,0.40081
7,800,-99999,45,0.85101,0,0.62824
8,-1,0,-1,0.5545,1,0
9,-1,-99999,-1,0.69665,1,0
10,800,-99999,45,0.76308,1,0.57233
11,-1,0,-1,0.58683,0,0
12,-1,-99999,-1,0.71783,1,0
13,0,0,-45,0.48547,0,1.4626
14,-1,-99999,-1,0.60652,0,0
15,0,-99999,-45,0.87415,0,0.6432
16,-1,-99999,-1,0.57748,0,0
17,0,0,0,0.71992,1,0.51316
18,-1,-99999,-1,0.63353,0,0
19,-1,0,-1,0.54988,1,0
20,-1,0,-1,0.52443,1,0
21,-1,-99999,-1,0.60372,0,0
22,-1,0,-1,0.47059,1,0
23,-1,0,-1,0.68906,1,0
24,0,0,-45,0.76365,0,1.0125
25,-1,0,-1,0.57704,0,0
26,0,-99999,0,0.78937,1,0.53456
27,-1,-99999,-1,0.65661,0,0
28,-1,-99999,-1,0.9074,1,0
29,0,0,45,0.85377,1,0.63098
30,0,-99999,45,0.73926,1,0.53243
31,-1,-99999,-1,0.67474,1,0
32,-1,0,-1,0.59911,1,0
33,0,0,0,0.73562,0,0.68891
34,-1,-99999,-1,0.75075,1,0
35,0,0,0,0.69402,1,0.55124
36,0,-99999,0,0.77367,0,0.63891
37,-1,-99999,-1,0.75882,1,0
38,-1,-99999,-1,0.61901,1,0
39,800,-99999,0,0.91172,1,0.70497
40,-1,-99999,-1,0.68847,0,0
41,-1,0,-1,0.7303,1,0
42,-1,-99999,-1,1.0279,1,0
43,0,-99999,0,0.85356,0,0.6067
44,-1,0,-1,0.67101,1,0
45,-1,0,-1,0.70052,0,0
46,-1,0,-1,0.67035,1,0
47,-1,-99999,-1,0.7227,1,0
48,-1,-99999,-1,0.58774,1,0
49,800,-99999,0,0.78002,1,0.62929
50,-1,-99999,-1,0.68115,0,0
51,800,-99999,-45,0.83329,0,0.70655
52,-1,-99999,-1,0.73687,0,0
53,-1,-99999,-1,0.5386,1,0
54,-1,-99999,-1,0.57783,0,0
55,-1,-99999,-1,0.60468,1,0
56,800,-99999,-45,0.70715,1,0.50841
57,800,-99999,0,0.77804,0,0.59535
58,-1,-99999,-1,0.74494,0,0
59,0,0,0,0.69996,1,1.285
60,-1,-99999,-1,0.82418,1,0
61,-1,-99999,-1,0.67673,1,0
62,-1,-99999,-1,0.5926,1,0
63,-1,-99999,-1,0.62879,0,0
64,-1,-99999,-1,0.54231,0,0
65,800,-99999,0,0.90515,0,0.65009
66,-1,0,-1,0.61328,0,0
67,-1,-99999,-1,0.58522,1,0
68,-1,0,-1,0.46327,1,0
69,-1,0,-1,0.59598,1,0
70,0,-99999,0,0.81069,0,0.588
71,0,-99999,-45,0.48154,1,0.86663
72,-1,-99999,-1,1.1442,1,0.61737
1,-1,-99999,-1,1.1245,1,0
2,-1,0,-1,0.54558,0,0
3,0,0,-45,0.80997,0,0.67525
4,0,0,0,0.65654,1,0.49784
5,-1,-99999,-1,0.6879,0,0
6,-1,-99999,-1,0.46414,1,0
7,-1,-99999,-1,0.53309,0,0
8,-1,-99999,-1,0.44921,0,0
9,-1,-99999,-1,0.41382,1,0
10,800,-99999,45,0.74466,0,0.55399
11,-1,-99999,-1,0.67096,0,0
12,-1,-99999,-1,0.45514,0,0
13,0,-99999,0,0.68826,0,0.52157
14,-1,-99999,-1,0.46105,0,0
15,-1,-99999,-1,0.553,0,0
