number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,1.6453,1,0
2,0,-99999,45,2.142,0,1.1111
3,-1,-99999,-1,2.037,0,0
4,0,-99999,-45,3.7586,1,2.1037
5,-1,-99999,-1,1.9192,1,0
6,-1,-99999,-1,1.5448,0,0
7,-1,-99999,-1,1.1453,1,0
8,-1,-99999,-1,1.1122,1,0
9,0,-99999,0,0.83244,0,1.2495
10,800,-99999,-45,1.8921,0,0.98129
11,0,-99999,-45,0.84308,1,1.4842
12,-1,-99999,-1,1.7457,0,0
13,-1,0,-1,3.1843,0,0
14,-1,-99999,-1,0.85235,1,0
15,-1,-99999,-1,0.81782,1,0
16,800,-99999,0,0.55237,1,0.87327
17,-1,-99999,-1,1.5336,0,0
18,-1,0,-1,0.78299,1,0
19,-1,0,-1,1.1707,1,0
20,-1,0,-1,1.014,0,0
21,-1,0,-1,0.80584,1,0
22,-1,-99999,-1,0.97806,0,0
23,0,0,0,2.5114,0,0.89656
24,-1,-99999,-1,1.7573,1,0
25,-1,-99999,-1,0.90159,1,0
26,0,0,-45,1.8135,1,1.2627
27,0,0,0,2.0958,1,0.94489
28,-1,-99999,-1,1.5554,1,0
29,-1,-99999,-1,1.018,1,0
30,-1,-99999,-1,1.2515,1,0
31,800,-99999,0,3.9983,NaN,0.56146
32,-1,0,-1,1.4507,1,0
33,800,-99999,0,3.1891,0,0.80603
34,-1,-99999,-1,1.4189,1,0
35,-1,0,-1,1.12,1,0
36,0,0,45,1.7871,0,0.78826
37,800,-99999,-45,1.5647,0,0.94977
38,-1,-99999,-1,1.3902,0,0
39,-1,0,-1,2.01,0,0
40,-1,0,-1,0.97169,0,0
41,800,-99999,45,1.7396,1,0.9728
42,-1,-99999,-1,1.5731,1,0
43,0,-99999,45,1.5092,0,0.99034
44,0,0,0,1.8729,0,0.81806
45,-1,-99999,-1,2.9087,0,0
46,-1,0,-1,0.93167,1,0
47,-1,-99999,-1,1.1382,1,0
48,0,-99999,0,1.5465,1,1.0836
49,-1,-99999,-1,1.2015,1,0
50,-1,0,-1,1.2502,1,0
51,-1,0,-1,1.1136,1,0
52,-1,0,-1,2.6771,0,0
53,-1,-99999,-1,1.5487,1,0
54,-1,-99999,-1,1.494,1,0
55,-1,-99999,-1,1.1328,1,0
56,-1,-99999,-1,1.1576,1,0
57,-1,-99999,-1,1.1114,0,0
58,-1,-99999,-1,0.84803,1,0
59,0,-99999,0,0.88452,0,1.8933
60,-1,0,-1,1.1168,0,0
61,-1,0,-1,2.1475,1,0
62,0,0,45,2.0278,0,1.229
63,0,0,0,1.6987,1,1.0119
64,0,0,-45,1.8965,0,0.91363
65,0,-99999,0,3.1175,0,0.9025
66,-1,-99999,-1,1.2617,1,0
67,-1,-99999,-1,1.6083,0,0
68,-1,-99999,-1,1.3096,0,0
69,800,-99999,0,1.2266,0,1.6756
70,-1,-99999,-1,0.98839,1,0
71,800,-99999,45,1.5845,0,1.0896
72,-1,-99999,-1,0.86541,0,0
1,0,0,45,2.0995,0,1.6207
2,800,-99999,45,1.8525,1,1.5096
3,-1,0,-1,1.6339,0,0
4,-1,0,-1,1.598,1,0
5,-1,-99999,-1,2.8092,0,0
6,0,-99999,0,1.4121,1,0.65324
7,-1,-99999,-1,0.91683,1,0
8,-1,0,-1,1.2309,1,0
9,800,-99999,0,1.9315,0,1.0606
10,-1,0,-1,1.2376,0,0
11,-1,0,-1,1.0601,1,0
12,-1,-99999,-1,2.0258,1,0
13,-1,-99999,-1,1.0876,0,0
14,0,0,0,1.6752,1,1.1082
15,-1,-99999,-1,1.0286,1,0
16,0,0,0,1.3907,1,0.87184
17,-1,-99999,-1,0.90048,0,0
18,-1,0,-1,0.85013,1,0
19,0,-99999,0,1.3026,0,0.80768
20,-1,-99999,-1,1.0153,1,0
21,-1,0,-1,1.7166,1,0
22,-1,-99999,-1,0.88803,1,0
23,-1,-99999,-1,1.4988,1,0
24,-1,-99999,-1,0.96174,1,0
25,-1,0,-1,1.2358,1,0
26,0,-99999,0,1.4936,0,0.95874
27,0,0,-45,1.8833,1,1.3641
28,-1,-99999,-1,0.88848,0,0
29,-1,-99999,-1,0.80385,0,0
30,0,0,-45,2.1812,0,0.83027
31,-1,-99999,-1,0.6941,1,0
32,0,-99999,-45,1.2404,0,0.77747
33,-1,-99999,-1,1.8356,1,0
34,-1,0,-1,0.96096,1,0
35,0,-99999,45,2.7725,1,1.0856
36,-1,-99999,-1,1.2958,1,0
37,-1,-99999,-1,1.0566,0,0
38,800,-99999,-45,2.0784,0,1.5595
39,-1,-99999,-1,0.86024,0,0
40,0,0,0,1.9224,0,0.90751
41,-1,-99999,-1,1.772,1,0
42,800,-99999,0,1.6634,1,0.73663
43,800,-99999,0,2.8741,1,1.1633
44,-1,0,-1,1.6221,1,1.0232
45,-1,0,-1,1.4971,0,0
46,-1,-99999,-1,1.3681,1,0
47,-1,-99999,-1,1.0008,0,0
48,-1,-99999,-1,0.80587,1,0
49,-1,-99999,-1,0.87037,1,0
50,-1,-99999,-1,0.83033,0,0
51,0,-99999,45,1.7364,0,1.0975
52,0,0,0,1.7626,1,0.92376
53,0,-99999,0,1.814,1,1.3591
54,800,-99999,-45,1.254,1,0.83908
55,-1,-99999,-1,1.2779,0,0.81509
56,-1,-99999,-1,2.1416,0,0
57,-1,0,-1,1.7008,0,0
58,-1,-99999,-1,0.80528,1,0
59,0,0,45,1.9403,0,1.1174
60,-1,0,-1,0.79017,0,0
61,0,-99999,-45,1.5391,0,1.0602
62,-1,-99999,-1,1.0146,0,0
63,-1,0,-1,1.9977,1,0
64,-1,0,-1,0.77172,1,0
65,-1,-99999,-1,0.84958,1,0
66,-1,-99999,-1,1.3641,1,0
67,-1,-99999,-1,0.90475,1,0
68,-1,-99999,-1,1.3497,0,0
69,800,-99999,45,1.8366,1,1.2137
70,-1,-99999,-1,0.83679,1,0
71,800,-99999,0,1.579,1,1.0281
72,-1,0,-1,1.2173,0,0
1,-1,0,-1,1.1982,1,0
2,-1,0,-1,1.0264,1,0
3,-1,-99999,-1,0.83117,1,0
4,-1,0,-1,0.81802,1,0
5,-1,-99999,-1,0.85434,0,0
6,-1,0,-1,1.5645,0,0
7,-1,0,-1,0.78897,1,0
8,-1,-99999,-1,0.57325,1,0
9,-1,0,-1,1.4469,0,0
10,800,-99999,-45,1.6904,0,1.2835
11,0,-99999,45,1.4381,1,0.99927
12,800,-99999,0,1.7732,1,0.99826
13,-1,-99999,-1,1.6934,0,0
14,-1,-99999,-1,0.86281,1,0
15,0,-99999,0,1.9669,1,1.1921
16,0,-99999,-45,1.4791,1,0.93614
17,800,-99999,-45,1.3294,0,0.96255
18,-1,-99999,-1,1.8057,1,0
19,-1,-99999,-1,1.6636,1,0
20,800,-99999,45,3.3304,1,2.8676
21,-1,0,-1,0.86086,1,0
22,-1,-99999,-1,0.6852,0,0
23,0,0,45,1.5985,1,0.98362
24,-1,-99999,-1,2.9773,1,0
25,0,0,0,1.4795,1,1.0086
26,-1,0,-1,1.0487,0,0
27,0,0,-45,1.5315,1,1.1086
28,-1,-99999,-1,1.0851,0,0
29,-1,-99999,-1,1.1461,0,0
30,-1,-99999,-1,0.87001,0,0
31,0,-99999,0,1.5983,1,1.1594
32,-1,0,-1,0.84204,0,0
33,-1,-99999,-1,0,NaN,0
34,-1,-99999,-1,0.69069,1,0
35,-1,-99999,-1,1.5672,0,0
36,-1,-99999,-1,0.87974,1,0
37,-1,-99999,-1,0.83453,1,0
38,800,-99999,0,1.3163,1,0.93371
39,0,0,0,1.6336,0,1.0427
40,-1,-99999,-1,1.1862,0,0
41,0,-99999,0,2.5228,1,0.80389
42,-1,-99999,-1,0.77055,1,0
43,-1,0,-1,2.3087,1,0
44,-1,-99999,-1,1.0605,1,0
45,-1,-99999,-1,1.5951,0,0
46,-1,-99999,-1,0.81776,1,0
47,-1,0,-1,1.85,1,0
48,-1,-99999,-1,0.67696,1,0
49,800,-99999,45,1.4854,1,1.0946
50,0,0,-45,1.6321,0,0.87327
51,-1,0,-1,0.86017,0,0
52,-1,0,-1,0.87625,0,0
53,-1,-99999,-1,0.70883,1,0
54,-1,-99999,-1,0.96303,1,0
55,-1,-99999,-1,0.95711,0,0
56,0,0,0,1.3879,1,0.96503
57,-1,-99999,-1,0.85681,0,0
58,-1,-99999,-1,1.169,1,0
59,800,-99999,0,2.689,0,2.3461
60,-1,-99999,-1,0.98208,0,0
61,800,-99999,0,0.80597,0,1.255
62,-1,0,-1,1.2099,0,0
63,-1,0,-1,0.98622,1,0
64,0,0,45,1.8093,1,1.4668
