number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,0,-1,0.87238,1,0
2,-1,-99999,-1,0.50698,1,0
3,0,0,0,1.5221,1,0.54719
4,800,-99999,0,0.55357,1,0.81863
5,-1,0,-1,1.2236,1,0.91274
6,-1,0,-1,0.60153,1,0
7,-1,0,-1,1.2566,1,0
8,-1,-99999,-1,0.9241,0,0
9,800,-99999,0,0.64065,1,0.94569
10,800,-99999,45,1.374,1,0.56704
11,-1,-99999,-1,1.0269,0,0
12,0,0,45,1.6436,1,0.6367
13,0,-99999,0,0.78654,1,1.0995
14,-1,-99999,-1,0.76669,1,0
15,-1,-99999,-1,0.60725,1,0
16,0,-99999,-45,1.749,1,0.95011
17,-1,-99999,-1,0.84285,1,0
18,0,-99999,45,1.3617,1,1.1471
19,-1,-99999,-1,0.80688,1,0
20,-1,-99999,-1,0.63626,1,0
21,-1,-99999,-1,0.80337,1,0
22,800,-99999,-45,1.3475,1,0.54854
23,-1,-99999,-1,0.88622,1,0
24,-1,-99999,-1,0.80762,1,0
25,-1,-99999,-1,1.0473,1,0
26,-1,-99999,-1,1.6447,0,0
27,800,-99999,45,1.3335,1,0.99875
28,0,-99999,0,1.0285,1,1.3416
29,-1,-99999,-1,1.5459,0,0
30,-1,-99999,-1,0.72347,1,0
31,-1,-99999,-1,0.87114,1,0
32,-1,-99999,-1,0.68531,1,0
33,0,0,0,1.2051,0,0.56627
34,-1,-99999,-1,1.3505,1,0
35,-1,-99999,-1,0.77604,1,0
36,-1,0,-1,0.98519,1,0
37,0,0,-45,1.4418,0,1.1629
38,800,-99999,-45,0.60748,1,0.88043
39,-1,-99999,-1,0.83038,1,0
40,-1,-99999,-1,0.88915,1,0
41,-1,0,-1,1.0657,1,0
42,-1,0,-1,0.68841,1,0
43,-1,-99999,-1,0.85677,1,0
44,-1,0,-1,0.7469,1,0
45,-1,0,-1,0.58844,1,0
46,0,0,45,1.219,1,0.94038
47,-1,0,-1,0.74898,1,0
48,-1,-99999,-1,0.91019,1,0
49,-1,0,-1,0.72055,1,0
50,-1,-99999,-1,0.74081,1,0
51,0,-99999,0,1.2299,1,0.87922
52,-1,-99999,-1,0.94246,1,0.67966
53,0,-99999,-45,1.5735,1,1.2466
54,0,-99999,0,1.366,1,1.1353
55,-1,-99999,-1,0.95354,1,0
56,-1,0,-1,0.74049,1,0
57,-1,0,-1,0.64736,1,0
58,-1,-99999,-1,0.89422,1,0
59,-1,0,-1,0.76245,1,0
60,800,-99999,0,1.1556,1,0.80476
61,-1,-99999,-1,0.75709,1,0
62,-1,-99999,-1,0.9861,1,0
63,0,0,0,1.0711,1,0.7763
64,-1,-99999,-1,0.57945,1,0
65,0,0,-45,0.95496,1,0.51606
66,0,-99999,45,1.1961,1,0.86918
67,-1,-99999,-1,1.0413,1,0
68,-1,-99999,-1,0.69058,1,0
69,-1,0,-1,0.60206,1,0
70,-1,0,-1,0.66463,1,0
71,0,0,0,1.1888,1,0.88596
72,800,-99999,0,1.3624,1,1.0915
1,0,-99999,0,1.0501,1,1.3151
2,-1,-99999,-1,0.91062,1,0
3,-1,-99999,-1,0.60356,1,0
4,-1,0,-1,0.92147,1,0
5,800,-99999,45,1.1185,1,0.84792
6,-1,-99999,-1,0.8403,1,0
7,-1,0,-1,0.75659,1,0
8,0,-99999,0,1.0016,1,0.85083
9,-1,-99999,-1,0.82231,1,0
10,-1,-99999,-1,1.0849,1,0
11,-1,0,-1,0.68097,1,0
12,0,0,0,1.169,1,0.78611
13,-1,-99999,-1,0.94975,0,0
14,800,-99999,-45,3.9987,NaN,0.7745
15,-1,-99999,-1,1.0968,1,0
16,-1,0,-1,0.62374,1,0
17,0,0,-45,1.1,1,0.85321
18,-1,-99999,-1,0.87391,1,0
19,800,-99999,0,1.2568,1,0.99397
20,0,-99999,-45,1.116,1,0.84521
21,-1,-99999,-1,0.67429,1,0
22,-1,-99999,-1,1.3099,1,0
23,-1,-99999,-1,0.79866,1,0
24,-1,-99999,-1,0.72688,1,0
25,-1,-99999,-1,0.82405,1,0
26,-1,0,-1,0.83215,1,0
27,-1,-99999,-1,0.87094,1,0
28,-1,-99999,-1,0.5569,1,0
29,-1,0,-1,0.73088,1,0
30,-1,-99999,-1,0.63901,1,0
31,800,-99999,0,1.3011,1,1.0303
32,-1,-99999,-1,0.84385,1,0
33,-1,-99999,-1,0.74793,1,0
34,-1,-99999,-1,0.56758,1,0
35,0,0,45,1.0428,1,0.73997
36,-1,0,-1,0.7055,1,0
37,0,0,0,1.2651,0,0.90616
38,-1,-99999,-1,0.64642,1,0
39,-1,-99999,-1,0.67499,1,0
40,-1,0,-1,0.64742,1,0
41,800,-99999,0,0.89972,1,0.73262
42,-1,-99999,-1,0.74371,1,0
43,-1,0,-1,0.6321,1,0
44,-1,-99999,-1,0.65808,1,0
45,-1,0,-1,0.60629,1,0
46,-1,-99999,-1,1.08,1,0
47,-1,-99999,-1,0.67866,1,0
48,-1,-99999,-1,0.77603,1,0
49,0,-99999,45,1.057,1,0.78619
50,-1,-99999,-1,0.65781,1,0
51,-1,0,-1,0.77175,1,0
52,0,0,-45,1.2974,0,1.1227
53,-1,0,-1,1.1645,1,0
54,-1,-99999,-1,0.83966,1,0
55,-1,-99999,-1,0.65389,1,0
56,800,-99999,0,1.0992,1,0.94884
57,-1,0,-1,0.60898,1,0
58,0,0,0,1.5707,1,1.1958
59,-1,-99999,-1,0.6106,1,0
60,0,-99999,-45,1.035,0,0.79606
61,0,0,45,1.2414,1,0.97053
62,-1,0,-1,1.5225,0,0
63,-1,-99999,-1,0.62847,1,0
64,0,0,0,1.1583,1,0.91949
65,800,-99999,-45,1.33,1,1.1072
66,-1,-99999,-1,0.74443,1,0
67,0,-99999,45,0.98644,0,0.7638
68,-1,0,-1,0.87972,0,0
69,-1,0,-1,0.5624,1,0
70,800,-99999,45,1.1256,1,0.9268
71,0,-99999,0,1.363,0,0.84409
72,0,-99999,0,1.2163,1,0.96148
1,-1,-99999,-1,1.0767,1,1.2696
2,-1,-99999,-1,0.79607,1,0
3,-1,-99999,-1,0.4815,1,0
4,0,-99999,-45,0.8859,1,0.72716
5,-1,-99999,-1,0.7396,1,0
6,-1,-99999,-1,0.67749,1,0
7,-1,-99999,-1,0.77361,1,0
8,-1,-99999,-1,0.72977,1,0
9,-1,-99999,-1,0.52196,1,0
10,-1,-99999,-1,0.67795,1,0
11,0,0,0,0.94773,1,0.78099
12,-1,-99999,-1,0.82026,1,0
13,-1,0,-1,0.59056,1,0
14,-1,-99999,-1,0.72262,1,0
15,-1,-99999,-1,0.46999,1,0
16,-1,0,-1,0.56466,1,0
17,-1,-99999,-1,0.70248,1,0
18,0,0,0,0.89105,1,0.42016
19,-1,0,-1,0.61988,1,0
20,-1,0,-1,0.57901,1,0
21,800,-99999,0,1.2988,1,0.39595
22,-1,-99999,-1,0.66663,1,0
23,0,-99999,0,0.53204,1,0.77296
24,0,-99999,0,1.4103,1,1.0594
25,800,-99999,45,0.99642,1,0.70961
26,-1,-99999,-1,0.58593,1,0
27,-1,0,-1,0.57918,1,0
28,-1,-99999,-1,0.50826,1,0
29,-1,-99999,-1,1.1024,0,0
30,-1,-99999,-1,0.58267,1,0
31,0,-99999,0,0.96789,1,0.7131
32,-1,-99999,-1,0.54283,1,0
33,-1,0,-1,0.59591,1,0
34,0,0,-45,0.66098,1,1.0941
35,0,0,45,0.99522,1,0.59637
36,-1,0,-1,0.72351,1,0
37,0,0,45,1.1251,0,0.83827
38,0,0,0,0.97448,1,0.70365
39,-1,-99999,-1,0.706,1,0
40,800,-99999,0,0.84555,1,1.1266
41,-1,-99999,-1,0.79419,1,0
42,-1,0,-1,1.582,1,0
43,-1,0,-1,0.45639,1,0
44,0,-99999,-45,0.6326,1,0.41778
45,-1,0,-1,0.73135,1,0
46,-1,-99999,-1,0.78398,1,0
47,0,0,0,1.108,1,0.88515
48,-1,-99999,-1,0.74931,1,0
49,0,-99999,45,0.93207,1,0.8934
50,800,-99999,-45,0.99153,1,0.76075
51,-1,-99999,-1,0.92843,1,0
52,-1,-99999,-1,0.88727,1,0
