number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.82061,1,0
2,800,-99999,0,0.70674,1,1.4357
3,800,-99999,0,1.1806,0,0.7577
4,-1,-99999,-1,0.93067,1,0
5,-1,-99999,-1,0.9467,1,0
6,0,-99999,45,1.2866,1,0.87167
7,-1,-99999,-1,1.0667,1,0
8,-1,0,-1,1.7179,1,0
9,-1,-99999,-1,1.3825,1,0
10,-1,-99999,-1,0.83457,1,0
11,-1,0,-1,1.4382,1,0
12,-1,0,-1,1.7428,1,0
13,0,0,0,1.2545,1,0.88769
14,-1,-99999,-1,1.6086,1,0
15,-1,-99999,-1,0.96648,0,0
16,-1,-99999,-1,1.0764,0,0
17,800,-99999,-45,1.5605,1,0.8655
18,-1,-99999,-1,1.1884,1,0
19,-1,-99999,-1,0.75229,1,0
20,-1,-99999,-1,0.58246,1,0
21,-1,-99999,-1,0.66647,1,0
22,-1,-99999,-1,0.56654,1,0
23,0,-99999,45,1.6464,1,1.1435
24,-1,-99999,-1,0.93627,1,0
25,-1,-99999,-1,1.0224,0,0
26,0,-99999,-45,1.1643,1,0.78941
27,-1,-99999,-1,1.1364,1,0
28,-1,-99999,-1,1.1923,1,0
29,-1,0,-1,0.52955,1,0
30,0,0,-45,4.0061,NaN,1.3353
31,-1,0,-1,1.1355,1,0
32,-1,0,-1,0.54359,1,0
33,-1,-99999,-1,1.5893,1,0
34,-1,-99999,-1,1.0492,1,0
35,800,-99999,45,1.2052,1,0.61434
36,-1,-99999,-1,1.0753,1,0
37,-1,0,-1,1.3485,1,0
38,0,-99999,0,1.4732,1,1.8662
39,-1,0,-1,1.5324,1,0
40,800,-99999,45,1.7851,1,0.92219
41,0,-99999,0,1.3632,0,0.94828
42,-1,-99999,-1,1.1553,1,0
43,0,0,45,1.0391,1,0.77627
44,0,0,0,1.4964,1,2.2815
45,0,-99999,0,1.176,1,0.92112
46,-1,-99999,-1,1.0504,0,0
47,-1,0,-1,0.9974,1,0
48,0,-99999,-45,1.3999,1,0.97703
49,-1,-99999,-1,1.134,1,0
50,-1,-99999,-1,0.95398,1,0
51,-1,0,-1,1.5314,1,0
52,-1,0,-1,0.91619,1,0
53,-1,-99999,-1,1.292,0,0
54,-1,-99999,-1,1.026,1,0
55,0,0,0,1.2792,1,0.94432
56,0,0,0,1.4498,1,1.0909
57,-1,-99999,-1,0.98599,1,0
58,-1,-99999,-1,1.748,0,0
59,-1,-99999,-1,2.314,0,0
60,-1,0,-1,1.3752,1,0
61,800,-99999,-45,1.2282,0,0.84493
62,0,0,45,1.4708,1,0.7679
63,800,-99999,0,0.65183,1,1.0929
64,-1,0,-1,1.4406,1,0
65,800,-99999,0,1.1378,0,0.81089
66,-1,0,-1,0,NaN,0
67,-1,-99999,-1,0.79786,1,0
68,0,-99999,0,2.5979,0,1.2389
69,-1,-99999,-1,0.9099,1,0
70,0,0,-45,1.1931,1,0.74614
71,-1,0,-1,0.70298,1,0
72,-1,0,-1,0.95416,1,0
1,800,-99999,0,1.9356,1,0
2,800,-99999,-45,0.57177,1,0.9408
3,-1,-99999,-1,0.80568,1,0
4,0,0,0,1.1348,1,0.60791
5,-1,-99999,-1,0.88363,1,0
6,0,-99999,0,1.1977,1,0.91075
7,-1,0,-1,1.1808,1,0
8,-1,-99999,-1,0.93754,0,0
9,-1,-99999,-1,0.82164,1,0
10,-1,-99999,-1,0.7915,1,0
11,-1,-99999,-1,1.0016,1,0
12,-1,-99999,-1,0.89965,1,0
13,-1,-99999,-1,0.58163,1,0
14,800,-99999,0,1.2076,1,0.84069
15,-1,-99999,-1,1.2676,1,0
16,-1,0,-1,0.99872,0,0
17,-1,0,-1,1.1216,1,0
18,-1,-99999,-1,1.1223,1,0
19,-1,-99999,-1,0.53652,1,0
20,800,-99999,45,0.47653,1,0.82162
21,0,0,-45,1.3976,1,1.0548
22,-1,0,-1,0.53444,1,0.92753
23,0,-99999,0,1.2252,0,0.79423
24,-1,-99999,-1,0.87553,1,0
25,-1,-99999,-1,0.84771,1,0
26,-1,-99999,-1,1.3475,1,0
27,0,0,-45,1.3274,0,0.85653
28,-1,-99999,-1,1.3277,0,0
29,-1,-99999,-1,0.74747,1,0
30,-1,-99999,-1,0.91538,1,0
31,-1,0,-1,1.8845,1,0
32,-1,0,-1,0.61445,1,0
33,0,0,0,0.92435,1,1.3255
34,-1,-99999,-1,0.94921,1,0
35,0,-99999,0,1.1693,0,0.7624
36,0,0,0,1.1973,1,0.63032
37,-1,-99999,-1,1.2312,1,0
38,-1,-99999,-1,1.0833,1,0
39,800,-99999,-45,1.3693,1,0.88239
40,-1,-99999,-1,0.84325,1,0
41,800,-99999,45,1.4713,1,0.79236
42,0,-99999,0,1.1692,0,0.85832
43,-1,0,-1,0.73669,1,0
44,-1,-99999,-1,1.4532,1,0
45,-1,0,-1,0.64222,1,0
46,0,-99999,-45,1.183,1,0.76812
47,0,0,45,1.2032,1,0.88423
48,0,-99999,45,1.1212,1,0.73827
49,0,-99999,45,1.963,1,1.6522
50,-1,0,-1,1.1423,1,0
51,-1,-99999,-1,1.203,0,0
52,-1,-99999,-1,0.90115,1,0
53,-1,-99999,-1,1.056,1,0
54,-1,0,-1,1.1623,1,0
55,-1,-99999,-1,1.211,1,0
56,-1,0,-1,1.2422,1,0
57,800,-99999,0,1.2209,1,0.90205
58,-1,-99999,-1,1.207,0,0
59,0,0,0,0.90506,1,2.0901
60,-1,0,-1,0.99623,1,0
61,-1,0,-1,1.0281,1,0
62,-1,-99999,-1,0.64289,1,0
63,-1,-99999,-1,1.0548,1,0
64,-1,-99999,-1,0.99698,1,0
65,-1,0,-1,1.0381,1,0
66,-1,-99999,-1,0.86518,1,0
67,0,-99999,-45,1.313,1,0.93004
68,-1,-99999,-1,0.63294,1,0
69,800,-99999,0,1.1468,1,0.85995
70,-1,0,-1,1.0876,1,0
71,-1,0,-1,0.68199,1,0
72,0,0,45,1.1701,1,0.80317
1,-1,-99999,-1,0.95365,1,0
2,-1,-99999,-1,0.76574,1,0
3,0,-99999,0,1.2335,1,0.9228
4,-1,-99999,-1,0.68379,1,0
5,-1,0,-1,0.96892,0,0
6,-1,-99999,-1,0.78766,1,0
7,-1,-99999,-1,0.77383,1,0
8,-1,-99999,-1,1.1818,1,0
9,0,-99999,-45,1.1595,1,0.85677
10,-1,0,-1,1.5709,1,0
11,-1,-99999,-1,0.97766,1,0
12,0,0,-45,1.4648,0,1.218
13,-1,0,-1,0.94278,1,0
14,0,-99999,45,1.7215,1,0.75461
15,-1,-99999,-1,1.2676,0,0.93281
16,0,0,45,1.2437,0,0.79677
17,800,-99999,0,1.3836,0,0.74483
18,-1,-99999,-1,1.4316,1,0
19,0,-99999,0,0.85966,1,1.9647
20,-1,0,-1,0.86656,1,0
21,-1,-99999,-1,0.97549,1,0
22,800,-99999,0,1.1735,1,0.83059
23,-1,0,-1,0.88071,1,0
24,0,0,0,1.1664,1,0.83954
25,-1,-99999,-1,1.1046,1,0
26,-1,-99999,-1,0.91655,1,0
27,-1,-99999,-1,1.6366,1,0
28,800,-99999,0,2.3696,1,2.0988
29,0,-99999,45,0.9955,1,0.70855
30,-1,-99999,-1,1.0115,1,0
31,-1,0,-1,0.94475,1,0
32,-1,0,-1,0.71851,1,0
33,-1,0,-1,1.0867,0,0
34,0,0,0,1.0946,0,0.5837
35,-1,0,-1,1.1427,1,0
36,-1,0,-1,0.68258,1,0
37,-1,-99999,-1,1.6433,0,0
38,0,-99999,-45,1.7293,1,1.4344
39,800,-99999,0,1.1253,1,0.81441
40,-1,-99999,-1,0.87134,1,0
41,0,-99999,0,1.1333,1,0.61445
42,-1,-99999,-1,0.92533,1,0
43,-1,-99999,-1,0.65626,1,0
44,0,0,0,1.0543,1,0.71138
45,0,-99999,0,1.3342,1,1.0554
46,800,-99999,-45,1.4563,1,1.1053
47,-1,-99999,-1,0.87675,1,0
48,-1,0,-1,1.2456,1,0
49,-1,-99999,-1,0.65413,1,0
50,-1,-99999,-1,0.78231,1,0
51,800,-99999,-45,1.2022,1,0.8673
52,-1,-99999,-1,0.84425,1,0
53,-1,-99999,-1,0.78019,1,0
54,-1,-99999,-1,1.2702,1,0
55,0,0,-45,1.3941,0,1.0512
56,-1,0,-1,1.0594,1,0
57,800,-99999,45,1.008,1,0.72109
58,0,0,45,1.5394,0,0.71648
59,-1,-99999,-1,2.2601,0,0.73315
60,-1,0,-1,1.3674,1,0
61,0,0,0,1.0784,1,0.73548
62,-1,-99999,-1,0.66415,1,0
63,-1,-99999,-1,1.292,0,0
64,-1,-99999,-1,0.94012,1,0
65,-1,0,-1,0.9051,1,0
66,-1,-99999,-1,0.99191,1,0
67,-1,-99999,-1,0.69011,1,0
68,-1,0,-1,0.87331,1,0
69,-1,0,-1,0.7463,1,0
70,-1,-99999,-1,0.85564,1,0
71,-1,-99999,-1,0.59601,1,0
72,800,-99999,45,1.1319,1,0.79713
1,800,-99999,0,0.86978,1,0
2,0,-99999,0,0.75864,1,2.3677
3,-1,-99999,-1,1.4598,1,0
4,-1,-99999,-1,0.76576,1,0
5,-1,0,-1,0.94904,0,0
6,-1,-99999,-1,0.86351,1,0
7,-1,0,-1,1.215,1,0
8,-1,-99999,-1,1.1121,0,0
9,-1,-99999,-1,0.89457,1,0
10,0,-99999,0,1.2687,0,0.67787
11,800,-99999,-45,1.1428,1,1.8319
12,800,-99999,45,1.2726,0,0.97782
13,-1,0,-1,0.91798,1,0
14,-1,-99999,-1,1.2906,1,0
15,-1,-99999,-1,1.5565,1,0
16,-1,-99999,-1,1.5427,1,0
17,0,-99999,45,1.6666,1,1.3878
18,0,0,-45,1.3518,1,1.129
19,-1,0,-1,0.76498,1,0
20,-1,-99999,-1,0.62065,1,0
21,800,-99999,45,1.9127,0,1.2177
22,-1,-99999,-1,0.99868,1,0
23,-1,0,-1,1.1199,1,0
24,-1,-99999,-1,1.0367,1,0
25,-1,-99999,-1,1.0117,1,0
26,-1,0,-1,0.9468,0,0
27,-1,0,-1,0.81987,1,0
28,0,0,-45,1.2476,0,0.90465
29,-1,-99999,-1,0.65556,1,0
30,800,-99999,0,1.0875,0,0.83266
31,0,0,45,1.3508,0,0.87986
32,-1,-99999,-1,0.62536,1,0
33,-1,-99999,-1,0.79149,1,0
34,0,0,0,1.2166,1,0.81767
35,-1,0,-1,2.7501,0,0
36,-1,0,-1,0.61776,1,0
37,-1,-99999,-1,0.71525,1,0
38,-1,-99999,-1,1.3235,0,0
39,-1,-99999,-1,0.77712,1,0
40,-1,-99999,-1,0.99936,0,0
41,0,0,0,0.81936,1,1.6844
42,-1,-99999,-1,1.0173,1,0
43,-1,-99999,-1,0.78339,1,0
44,-1,-99999,-1,0.86729,1,0
45,-1,-99999,-1,0.62341,1,0
46,-1,-99999,-1,0.68336,1,0
47,-1,0,-1,1.0746,1,0
48,-1,-99999,-1,0.66932,1,0
49,-1,0,-1,0.71661,1,0
50,-1,0,-1,1.0105,0,0
51,-1,-99999,-1,0.83428,1,0
52,-1,0,-1,0,NaN,0
53,-1,-99999,-1,0.77632,1,0
54,-1,-99999,-1,0.77208,1,0
55,-1,-99999,-1,1.0362,1,0
56,-1,0,-1,0.88751,1,0
57,0,-99999,-45,1.4641,1,1.1132
58,800,-99999,-45,1.3981,1,0.95115
59,-1,-99999,-1,1.4002,0,0
60,0,0,45,1.2402,1,0.80927
61,0,0,0,2.0475,0,0.64854
62,800,-99999,0,1.4264,1,0.84309
63,-1,0,-1,1.2173,0,0
64,-1,0,-1,0.69636,1,0
65,0,-99999,0,1.068,1,0.80518
66,-1,-99999,-1,0.91375,0,0
67,800,-99999,0,1.0639,1,0.78508
68,0,0,0,1.1179,1,0.90308
69,0,-99999,-45,1.6081,1,1.0091
70,-1,-99999,-1,1.6961,1,0
71,0,-99999,45,0.85981,1,0.66105
72,0,-99999,0,0.74988,1,0.5511
