0 0.9577
1 0.58167
0 0.9777
1 0.5656
0 1.0776
1 1.5835
1 0.64141
1 0.91554
0 0.7337
1 1.0634
1 1.1914
1 1.0092
1 0.68526
1 0.52737
1 0.72311
0 0.77112
1 0.69545
1 0.56115
1 0.80936
0 0.54704
1 0.87104
0 0.70492
1 0.63694
1 1.155
1 0.49287
1 0.79371
1 0.67759
1 0.65149
1 0.67358
1 0.83353
NA 4.0061
0 0.66148
1 0.77559
0 0.63572
1 0.70147
1 0.67533
1 0.78355
1 0.70131
1 0.73318
1 0.72127
0 0.68918
1 0.72519
1 0.63306
0 0.64492
1 0.72106
1 0.6851
1 0.87698
1 0.82301
1 0.51862
1 1.0488
1 0.68655
1 0.57224
1 1.0442
0 0.76021
1 0.71208
0 0.75604
1 0.84023
1 0.75408
1 0.78634
1 0.61313
1 0.60534
1 0.76883
0 0.8348
0 0.87498
1 0.61684
0 0.73695
1 0.86681
0 0.62668
1 0.71258
1 0.48219
1 0.75968
1 0.66957
1 0.89537
1 0.76549
1 0.90942
1 1.0194
1 0.70326
0 1.0935
1 0.79526
0 0.73526
0 0.86728
0 0.73531
1 0.66119
0 0.71908
1 0.83305
1 0.86711
0 0.80793
1 0.88981
1 0.68017
1 0.53038
0 0.71578
1 0.7298
1 0.87395
1 0.74998
1 0.8644
1 1.2788
