number, fading_function, sound, LEDangle, reactionTime_PT, correct, reaction_time_ST
1,-1,-99999,-1,0.92121,0,0
2,-1,0,-1,1.6165,1,1.6165
3,-1,0,-1,0.96919,1,0
4,-1,-99999,-1,1.3159,1,0
5,800,-99999,0,1.8568,1,1.8568
6,-1,-99999,-1,1.051,1,0
7,-1,-99999,-1,1.7123,1,0
8,800,-99999,45,2.0921,0,2.0921
9,-1,0,-1,1.9664,0,0
10,0,0,0,2.0911,1,2.0911
11,0,0,-45,1.6722,0,1.6722
12,0,0,45,2.1264,0,2.1264
13,-1,-99999,-1,1.3461,1,0
14,-1,0,-1,1.8524,0,0
15,0,0,0,2.1668,1,2.1668
16,-1,0,-1,2.4262,0,0
17,-1,-99999,-1,2.4965,1,0
18,-1,-99999,-1,1.9017,1,0
19,-1,-99999,-1,1.3638,1,0
20,-1,-99999,-1,1.2049,1,0
21,-1,-99999,-1,1.6826,0,0
22,-1,0,-1,1.7746,0,0
23,-1,-99999,-1,1.4381,0,0
24,0,-99999,0,1.8763,1,1.8763
25,-1,-99999,-1,1.1565,1,0
26,0,-99999,45,1.5556,1,1.5556
27,-1,-99999,-1,1.4247,1,0
28,-1,-99999,-1,2.7165,1,0
29,-1,0,-1,1.9332,0,0
30,800,-99999,-45,2.4729,0,2.4729
31,-1,-99999,-1,1.322,1,0
32,-1,-99999,-1,1.8311,1,0
33,-1,-99999,-1,1.2118,1,0
34,-1,0,-1,1.4224,0,0
35,0,0,0,2.3254,1,2.3254
36,800,-99999,0,1.8882,1,1.8882
37,0,-99999,-45,2.0688,0,2.0688
38,800,-99999,45,3.0162,1,3.0162
39,-1,-99999,-1,1.999,0,0
40,-1,-99999,-1,1.9796,1,0
41,0,-99999,0,1.5867,1,1.5867
42,-1,-99999,-1,1.5785,1,0
43,-1,0,-1,2.1928,0,0
44,0,0,-45,1.7679,1,1.7679
45,-1,0,-1,1.4888,0,0
46,-1,-99999,-1,1.2266,1,0
47,-1,-99999,-1,1.2847,0,0
48,-1,-99999,-1,0.9066,1,0
49,-1,0,-1,1.6627,1,0
50,0,-99999,45,1.7944,0,1.7944
51,0,0,0,2.0565,1,2.0565
52,800,-99999,0,2.2196,0,2.2196
53,-1,0,-1,2.0129,1,0
54,0,-99999,0,2.2816,0,2.2816
55,-1,-99999,-1,2.0216,0,0
56,0,-99999,0,1.6675,1,1.6675
57,-1,0,-1,1.7192,1,0
58,-1,-99999,-1,1.452,1,0
59,800,-99999,-45,2.1043,1,2.1043
60,-1,-99999,-1,1.6312,1,0
61,-1,-99999,-1,1.9842,1,0
62,0,-99999,-45,2.0212,1,2.0212
63,0,0,45,2.3421,0,2.3421
64,800,-99999,0,2.0544,0,2.0544
65,-1,-99999,-1,2.2877,0,0
66,-1,-99999,-1,1.4264,1,0
67,-1,-99999,-1,1.417,1,0
